"","date","t2m","site"
"101139",2020-01-14 06:00:00,0,"LG-264290-99999"
"102139",2020-01-14 09:00:00,1.5,"LG-264290-99999"
"103140",2020-01-14 12:00:00,3.7,"LG-264290-99999"
"104139",2020-01-14 15:00:00,3.3,"LG-264290-99999"
"105138",2020-01-14 18:00:00,4.2,"LG-264290-99999"
"106139",2020-01-14 21:00:00,4.3,"LG-264290-99999"
"107138",2020-01-15 00:00:00,4.2,"LG-264290-99999"
"108139",2020-01-15 03:00:00,4.2,"LG-264290-99999"
"109138",2020-01-15 06:00:00,3.2,"LG-264290-99999"
"110138",2020-01-15 09:00:00,4.5,"LG-264290-99999"
"111139",2020-01-15 12:00:00,5.7,"LG-264290-99999"
"112140",2020-01-15 15:00:00,6.7,"LG-264290-99999"
"113136",2020-01-15 18:00:00,6.5,"LG-264290-99999"
"114134",2020-01-15 19:00:00,5.7,"LG-264290-99999"
"115138",2020-01-15 21:00:00,5.1,"LG-264290-99999"
"116137",2020-01-15 22:00:00,5.2,"LG-264290-99999"
"117133",2020-01-15 23:00:00,5.1,"LG-264290-99999"
"118135",2020-01-16 00:00:00,5.7,"LG-264290-99999"
"119133",2020-01-16 01:00:00,6,"LG-264290-99999"
"120134",2020-01-16 03:00:00,6.7,"LG-264290-99999"
"121136",2020-01-16 04:00:00,7,"LG-264290-99999"
"122129",2020-01-16 05:00:00,6.6,"LG-264290-99999"
"123128",2020-01-16 06:00:00,6.5,"LG-264290-99999"
"124129",2020-01-16 07:00:00,6.7,"LG-264290-99999"
"125128",2020-01-16 08:00:00,6,"LG-264290-99999"
"126128",2020-01-16 09:00:00,6,"LG-264290-99999"
"127130",2020-01-16 12:00:00,6.2,"LG-264290-99999"
"128127",2020-01-16 15:00:00,6,"LG-264290-99999"
"129109",2020-01-16 18:00:00,6,"LG-264290-99999"
"130129",2020-01-16 20:00:00,5.7,"LG-264290-99999"
"131129",2020-01-16 21:00:00,4.9,"LG-264290-99999"
"132129",2020-01-17 00:00:00,4.1,"LG-264290-99999"
"133129",2020-01-17 02:00:00,5.2,"LG-264290-99999"
"134127",2020-01-17 03:00:00,5.1,"LG-264290-99999"
"135127",2020-01-17 04:00:00,5,"LG-264290-99999"
"136130",2020-01-17 05:00:00,5,"LG-264290-99999"
"137126",2020-01-17 06:00:00,3.7,"LG-264290-99999"
"138127",2020-01-17 09:00:00,4.1,"LG-264290-99999"
"139130",2020-01-17 10:00:00,4.7,"LG-264290-99999"
"140127",2020-01-17 12:00:00,5,"LG-264290-99999"
"141129",2020-01-17 15:00:00,3.2,"LG-264290-99999"
"142128",2020-01-17 16:00:00,2.5,"LG-264290-99999"
"143125",2020-01-17 18:00:00,1.2,"LG-264290-99999"
"144126",2020-01-17 20:00:00,0.2,"LG-264290-99999"
"145128",2020-01-17 21:00:00,-0.4,"LG-264290-99999"
"146109",2020-01-17 22:00:00,-0.5,"LG-264290-99999"
"147126",2020-01-18 00:00:00,-0.4,"LG-264290-99999"
"148125",2020-01-18 03:00:00,0,"LG-264290-99999"
"149126",2020-01-18 06:00:00,0.1,"LG-264290-99999"
