"","Plot_ID","mean_offset","median_offset","equilibrium","sd_offset","sd_offset_mean_daily","amplitude_offset.95","amplitude_offset.975","amplitude_offset_mean_daily","CV_offset","slope","offset_of_maxima.95","offset_of_maxima.975","offset_of_maxima1.00","offset_of_maxima_mean_daily.95","offset_of_maxima_mean_daily.975","offset_of_maxima_mean_daily1.00","p95_daily_maxima_offset","offset_of_minima.05","offset_of_minima.025","offset_of_minima.00","offset_of_minima_mean_daily.05","offset_of_minima_mean_daily.025","offset_of_minima_mean_daily.00","p5_daily_minima_offset"
"1","42","-0.212116619875024","-0.459692025175997","276.209836547557","-0.17817523677372","-0.136321248994721","-1.06572214473346","-1.31224688121699","-2.81312672803706","1.0008400364929","0.871470357778376","0.363380002870201","0.3258390504771","1.76431419791987","-1.00881437217224","-1.05299369512668","-1.08905667689505","4.91614689010011","1.42910214760366","1.63808593169409","0.879436292607863","1.19455339936968","1.45483431689206","1.72407005114201","-2.21799627088651"
"2","40","-0.420083766269661","-0.529820062612544","273.805399965858","-0.0967927931108887","-0.0617659861386077","0.172988399940323","-0.619335680682696","-2.0020929954676","0.439900517857055","0.895534716224999","-0.544469663101268","-1.24125243616942","1.31933586327426","-1.0700855986079","-1.01018494981612","-0.90695911512483","5.35331585281239","-0.71745806304159","-0.621916755486723","1.78906314919993","0.564776898943399","0.822176296098061","1.09513388034277","-2.83979393316137"
"3","55","-0.507541582705987","-0.739681363267209","274.765691194418","-0.128598197492408","-0.0675757701506425","-2.12476902504824","-1.83010005132365","-1.47884940897298","0.634479169381152","0.838566627429764","0.0421828702639573","0.612496845846977","5.88651166221428","-0.51010559836352","-0.269013176888941","-0.00827756341769625","10.885669066464","2.1669518953122","2.44259689717063","2.66436786145005","0.902394572462919","1.18093120026406","1.47057184555528","-2.96666855175279"
"4","46","-0.00563086085230468","-0.478252384419278","278.009087014617","0.135472537967156","0.204767998691845","-1.55801997459133","0.450424891815715","-1.07927938594509","-0.728047568672999","0.855891693886269","2.04226377794868","4.36728530477569","9.39737635494015","0.253295210973546","0.395035518287077","0.546616616479198","11.6353276802648","3.60028375254001","3.91686041295998","2.18942264752985","1.08620311274641","1.34224224053521","1.62589600242429","-3.18595442973207"
"5","47","-0.00777278574229621","-0.147204259416384","277.966090141113","-1.04671358582901","-0.972118286927567","-4.6177225041634","-6.50960328230445","-4.19980067403773","6.13433252602375","0.784494155486854","-1.54093801436272","-2.63471385667634","-5.04948154367224","-1.56767323932895","-1.69851970295275","-1.8297633504303","2.88832935593074","3.07678448980067","3.87488942562811","0.350413775281538","1.8360532873193","2.09953592226817","2.37003732360743","-1.59344916923201"
"6","45","0.125046228304452","-0.0481697147731097","278.369304249381","-0.261941626499969","-0.19967912317531","-2.29086484284124","-3.08956250879885","-3.45619716390227","1.5489571678261","0.848921594547184","0.754035349709795","0.654069735579469","2.06648185629081","-0.934049593152756","-1.00376625858248","-1.0618601866853","5.01928806157155","3.04490019255104","3.74363224437832","3.1661398286617","1.7000547502219","2.04217795781382","2.39433697721697","-1.9430811894669"
"7","43","0.269500523192254","-0.00551252256923362","279.6101232505","-0.048449548677719","0.0185794669729995","-1.78348545450001","-1.10906717915543","-2.29527656016876","0.322380827076465","0.861768338167415","1.49622137738896","2.60113350036357","4.93931463756633","-0.334974217119506","-0.173447174766889","0.0245123663793206","9.17824165962546","3.27970683188897","3.71020067951901","2.57573471875662","1.64448784113955","1.96834340942646","2.31978892654808","-2.47800410899156"
"8","39","0.273996503701161","0.0524518483400698","280.050761647469","-0.044159943722895","-0.0229508305573044","-0.835943518609781","-1.12018389891949","-2.6425923733697","0.287709145179271","0.882155333138493","1.35010051137675","1.08675973005649","-0.732488906849312","-0.356224349809504","-0.420814495964367","-0.48077352698045","4.58558085806295","2.18604402998653","2.20694362897598","3.16617408133317","1.56165887307967","1.85772228579513","2.16181884638925","-2.25108142556197"
"9","56","-0.558858829328381","-0.762573339895653","275.297968559456","-0.880574921329025","-0.845711519232835","-3.78199089711194","-3.8203947681169","-3.78144826324005","4.67437645288288","0.800578491750803","-1.20994571966759","-0.906815258194626","0.30015204187174","-1.96343672237618","-2.02574861814489","-2.07422499776449","4.37940629679739","2.57204517744435","2.91357950992227","3.3561729054577","1.15168597396701","1.41651900631443","1.70722326547557","-2.32723173404773"
"10","49","-0.665771162488466","-0.903693738831805","275.040227936436","-0.680725940916723","-0.630057940498165","-3.32311759419287","-4.53140060405286","-3.24562289358845","3.94890617375376","0.789219902578028","-0.494608732161112","-0.721096657143619","5.25229575225643","-1.96609658374482","-1.83657507027071","-1.69200795762025","7.21618667325846","2.82850886203175","3.81030394690924","1.53869129907008","1.1111514718737","1.32702731641625","1.5536149359682","-3.02705165988787"
