"","index","a_marg_r2","v_marg_r2","e_marg_r2","ave_marg_r2","ave_site_r2"
"1","p7.5","7.64763289354759e-31","0.824597521341352","0","0.82459320785877","0.00243959950512296"
"2","p6.25","7.31248538379304e-31","0.842675973048657","0","0.842672019751202","0.00120894595080945"
"3","p5","1.06149426103128e-30","0.863853722674541","4.01571354778782e-07","0.863850621475513","0.00122857715508562"
"4","p3.75","0","0.834152690522727","0.0473983374086634","0.881547921268082","0.00112725878504116"
"5","p2.5","2.52983422898199e-31","0.730749883460082","0.173717521424601","0.904464833793275","0.00077758711442788"
"6","p1.25","0","0.577106311585396","0.341980437848533","0.919084531600288","0.000462939416349339"
"7","p0","0","0.332824518868142","0.574830770951615","0.907653090046898","0.000386394038142446"
