"","index","a_marg_r2","v_marg_r2","e_marg_r2","ave_marg_r2","ave_site_r2"
"1","p7.5","5.83845426365736e-33","0.849463260150386","0","0.849459498148395","0.00373326903592852"
"2","p6.25","3.34147141702704e-33","0.855215507941497","0","0.855211824003548","0.00146010262110341"
"3","p5","3.5132550530882e-34","0.860148030659271","3.93915393413373e-07","0.860144861032513","0.00198311804913021"
"4","p3.75","3.61344891527741e-33","0.80657425369738","0.0538086585303982","0.860379331013299","0.00105415490818506"
"5","p2.5","2.92464162598219e-33","0.672621621044887","0.182532458000887","0.855150378324883","0.000754407354512154"
"6","p1.25","5.53542586024266e-34","0.51129754082228","0.338651876755749","0.849945598559389","0.00041171541797369"
"7","p0","1.26190533145532e-34","0.253287334526892","0.462730190523873","0.716012119970074","0.000209751185669238"
